[07-Feb-2016 16:10:26 Europe/Berlin] PHP Fatal error:  Class 'Mariana\Framework\Cache\Config' not found in C:\xampp\htdocs\mariana-framework\app\framework\cache\cache.php on line 22
[07-Feb-2016 20:08:51 Europe/Berlin] PHP Warning:  in_array() expects parameter 2 to be array, string given in C:\xampp\htdocs\mariana-framework\app\framework\app.php on line 40
[07-Feb-2016 20:08:51 Europe/Berlin] PHP Warning:  include_once(C:\xampp\htdocs\mariana-framework\app\languagesen.php): failed to open stream: No such file or directory in C:\xampp\htdocs\mariana-framework\app\framework\app.php on line 45
[07-Feb-2016 20:08:51 Europe/Berlin] PHP Warning:  include_once(): Failed opening 'C:\xampp\htdocs\mariana-framework\app\languagesen.php' for inclusion (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\mariana-framework\app\framework\app.php on line 45
[07-Feb-2016 20:09:31 Europe/Berlin] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\mariana-framework\app\languages\en.php on line 13
[07-Feb-2016 20:13:41 Europe/Berlin] PHP Warning:  in_array() expects parameter 2 to be array, null given in C:\xampp\htdocs\mariana-framework\app\framework\app.php on line 40
[07-Feb-2016 20:41:05 Europe/Berlin] PHP Fatal error:  Class 'Mariana\Framework\Language\Lang' not found in C:\xampp\htdocs\mariana-framework\app\framework\app.php on line 48
[07-Feb-2016 20:41:48 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\mariana on line 328
[07-Feb-2016 20:41:48 Europe/Berlin] PHP Fatal error:  Call to undefined method CLI::server´() in C:\xampp\htdocs\mariana-framework\mariana on line 332
[07-Feb-2016 21:15:39 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 28
[07-Feb-2016 21:15:39 Europe/Berlin] PHP Warning:  array_key_exists(): The first argument should be either a string or an integer in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 83
[07-Feb-2016 21:15:39 Europe/Berlin] PHP Warning:  trim() expects parameter 1 to be string, array given in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 24
[07-Feb-2016 21:15:39 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 28
[07-Feb-2016 21:15:39 Europe/Berlin] PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 109
[07-Feb-2016 21:15:39 Europe/Berlin] PHP Fatal error:  Class name must be a valid object or a string in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 116
[07-Feb-2016 21:16:30 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 28
[07-Feb-2016 21:16:30 Europe/Berlin] PHP Warning:  array_key_exists(): The first argument should be either a string or an integer in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 83
[07-Feb-2016 21:16:30 Europe/Berlin] PHP Warning:  trim() expects parameter 1 to be string, array given in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 24
[07-Feb-2016 21:16:30 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 28
[07-Feb-2016 21:16:30 Europe/Berlin] PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 109
[07-Feb-2016 21:16:30 Europe/Berlin] PHP Fatal error:  Class name must be a valid object or a string in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 116
[07-Feb-2016 21:17:09 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 28
[07-Feb-2016 21:17:09 Europe/Berlin] PHP Warning:  array_key_exists(): The first argument should be either a string or an integer in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 83
[07-Feb-2016 21:17:09 Europe/Berlin] PHP Warning:  trim() expects parameter 1 to be string, array given in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 24
[07-Feb-2016 21:17:09 Europe/Berlin] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 28
[07-Feb-2016 21:17:09 Europe/Berlin] PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 109
[07-Feb-2016 21:17:09 Europe/Berlin] PHP Fatal error:  Class name must be a valid object or a string in C:\xampp\htdocs\mariana-framework\app\framework\router.php on line 116
[07-Feb-2016 21:17:28 Europe/Berlin] PHP Fatal error:  Uncaught exception 'PDOException' with message 'SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.
' in C:\xampp\htdocs\mariana-framework\app\framework\orm\database.php:27
Stack trace:
#0 C:\xampp\htdocs\mariana-framework\app\framework\orm\database.php(27): PDO->__construct('mysql:host=loca...', 'root', '')
#1 C:\xampp\htdocs\mariana-framework\app\framework\orm\marianaORM.php(67): Mariana\Framework\Database::getConnection()
#2 C:\xampp\htdocs\mariana-framework\mvc\controllers\test.controller.php(177): Mariana\Framework\ORM\MarianaORM::all()
#3 C:\xampp\htdocs\mariana-framework\app\framework\router.php(117): TestController->post_test()
#4 C:\xampp\htdocs\mariana-framework\app\framework\app.php(33): Mariana\Framework\Router::route()
#5 C:\xampp\htdocs\mariana-framework\index.php(21): Mariana\Framework\App::run()
#6 {main}
  thrown in C:\xampp\htdocs\mariana-framework\app\framework\orm\database.php on line 27
[07-Feb-2016 21:25:12 Europe/Berlin] PHP Warning:  Missing argument 1 for Mariana\Framework\Upload\Upload::check(), called in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 72 and defined in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 25
[07-Feb-2016 21:25:12 Europe/Berlin] PHP Notice:  Undefined variable: id in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 26
[07-Feb-2016 21:25:12 Europe/Berlin] PHP Fatal error:  Class 'Mariana\Framework\Languages\Lang' not found in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 29
[07-Feb-2016 21:25:44 Europe/Berlin] PHP Strict Standards:  Only variables should be passed by reference in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 44
[07-Feb-2016 21:25:44 Europe/Berlin] PHP Fatal error:  Class 'Mariana\Framework\Languages\Lang' not found in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 60
[07-Feb-2016 21:26:52 Europe/Berlin] PHP Fatal error:  Class 'Mariana\Framework\Languages\Lang' not found in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 61
[07-Feb-2016 21:29:02 Europe/Berlin] PHP Warning:  htmlspecialchars() expects parameter 1 to be string, array given in C:\xampp\htdocs\mariana-framework\app\framework\session\session.php on line 21
[07-Feb-2016 21:29:53 Europe/Berlin] PHP Warning:  htmlspecialchars() expects parameter 1 to be string, array given in C:\xampp\htdocs\mariana-framework\app\framework\session\session.php on line 21
[07-Feb-2016 21:39:07 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Mariana\Framework\Session\Flash::setMessages() must be of the type array, string given, called in C:\xampp\htdocs\mariana-framework\app\framework\upload\Upload.php on line 100 and defined in C:\xampp\htdocs\mariana-framework\app\framework\session\flash.php on line 15
